Koordnatat e ndarjes,,
Nr,X,Y
1,7516687.175,4692430.941
2,7516693.609,4692409.403
3,7516703.138,4692374.468
4,7516731.860,4692382.836
5,7516706.080,4692433.956
6,7516719.782,4692430.036
