p1,4692427.344,7516762.451,626.731,,s1,4692427.344,7516762.438,626.673
p2,4692344.23,7516784.091,625.292,,s2,,,
p3,4692243.114,7516800.336,624.792,,s3,,,
p4,4692174.408,7516783.856,625.169,,s4,4692174.419,7516783.856,625.163
,,,,,,,,
s2_p1-p1,4692427.343,7516762.439,626.674,,,,,
s2_p1-p2,4692427.344,7516762.436,626.672,,,,,
,,,,,,,,
s1_p2-p1,4692344.235,7516784.082,625.211,,s2_p2-p1,4692344.228,7516784.09,625.299
s1_p2-p2,4692344.231,7516784.086,625.212,,s2_p2-p2,4692344.226,7516784.088,625.299
s1_p3-p1,4692243.108,7516800.331,624.818,,s2_p3-p1,4692243.108,7516800.335,624.829
s1_p3-p2,4692243.107,7516800.332,624.814,,s2_p3-p2,4692243.106,7516800.333,624.828
,,,,,,,,
s1_p4-p1,4692174.419,7516783.856,625.163,,,,,
s1_p4-p2,4692174.417,7516783.854,625.161,,,,,
